Variables= x y z
Zone T="Lower surface" i=1000  j=33
-0.6393203188391048  -0.05263519805178574  0.6381452886130012
-0.6382547849743729  -0.05277099445655013  0.6382492047563075
-0.6371892511096411  -0.05290680803848301  0.6383531340441821
-0.6361237172449092  -0.053042638785393656  0.6384570764672961
-0.6350581833801774  -0.05317848668254733  0.638561032014374
-0.6339926495154455  -0.05331435171574841  0.6386650006745528
-0.6329271156507137  -0.05345023387284468  0.6387689824385332
-0.6318615817859818  -0.05358613313723451  0.6388729772936109
-0.63079604792125  -0.05372204949670748  0.6389769852304424
-0.6297305140565181  -0.05385798293734458  0.639081006238376
-0.6286649801917863  -0.05399393344434333  0.6391850403060848
-0.6275994463270544  -0.0541299010056173  0.6392890874243194
-0.6265339124623226  -0.05426588560544919  0.6393931475810527
-0.6254683785975907  -0.05440188723095192  0.6394972207664228
-0.624402844732859  -0.054537905869081874  0.6396013069704484
-0.6233373108681272  -0.05467394150436795  0.6397054061812905
-0.6222717770033953  -0.05480999412478871  0.6398095183897498
-0.6212062431386635  -0.054946063715569156  0.6399136435845199
-0.6201407092739316  -0.05508215026308566  0.6400177817551757
-0.6190751754091998  -0.05521825375522657  0.6401219328924488
-0.6180096415444679  -0.05535437417579379  0.6402260969839438
-0.6169441076797361  -0.05549051151283036  0.6403302740205111
-0.6158785738150042  -0.05562666575255752  0.6404344639916064
-0.6148130399502724  -0.055762836880559156  0.6405386668861982
-0.6137475060855405  -0.055899024884915945  0.6406428826951653
-0.6126819722208087  -0.05603522975023282  0.640747111406727
-0.6116164383560768  -0.05617145146382409  0.6408513530111756
-0.610550904491345  -0.05630769001295838  0.6409556074987686
-0.6094853706266132  -0.05644394538237403  0.6410598748578273
-0.6084198367618814  -0.056580217560215244  0.6411641550792794
-0.6073543028971495  -0.05671650653219541  0.6412684481521921
-0.6062887690324177  -0.0568528122847212  0.6413727540661632
-0.6052232351676858  -0.056989134805974104  0.6414770728121489
-0.604157701302954  -0.05712547408016119  0.6415814043780641
-0.6030921674382221  -0.05726183009530794  0.6416857487547452
-0.6020266335734903  -0.05739820283828152  0.6417901059321426
-0.6009610997087584  -0.05753459229453338  0.6418944758991232
-0.5998955658440266  -0.05767099845230795  0.6419988586466913
-0.5988300319792947  -0.05780742129702384  0.6421032541636885
-0.5977644981145629  -0.057943860815692375  0.6422076624401758
-0.596698964249831  -0.05808031699637748  0.6423120834670191
-0.5956334303850992  -0.05821678982353059  0.6424165172323199
-0.5945678965203675  -0.05835327928545839  0.6425209637271303
-0.5935023626556356  -0.05848978536883203  0.6426254229412506
-0.5924368287909038  -0.05862630805960599  0.6427298948639325
-0.5913712949261719  -0.05876284734612348  0.6428343794862561
-0.5903057610614401  -0.058899403213708235  0.6429388767969904
-0.5892402271967082  -0.0590359756497721  0.6430433867865025
-0.5881746933319764  -0.059172564642275806  0.6431479094455795
-0.5871091594672445  -0.05930917017607789  0.643252444762635
-0.5860436256025127  -0.05944579223958306  0.6433569927287953
-0.5849780917377808  -0.05958243081945753  0.6434615533338574
-0.583912557873049  -0.05971908590196313  0.643566126567308
-0.5828470240083171  -0.05985575747554059  0.6436707124203019
-0.5817814901435853  -0.05999244552560513  0.6437753108816782
-0.5807159562788534  -0.060129150039777896  0.6438799219419639
-0.5796504224141217  -0.060265871006100154  0.6439845455920081
-0.5785848885493898  -0.060402608409649325  0.6440891818203913
-0.577519354684658  -0.060539362238926905  0.6441938306183147
-0.5764538208199261  -0.06067613248077296  0.6442984919757077
-0.5753882869551943  -0.06081291912157337  0.6444031658821521
-0.5743227530904624  -0.06094972214986515  0.6445078523288764
-0.5732572192257306  -0.06108654155132858  0.6446125513049225
-0.5721916853609987  -0.061223377313615865  0.6447172628008413
-0.5711261514962669  -0.06136022942501962  0.644821986807674
-0.570060617631535  -0.06149709787066101  0.644926723314035
-0.5689950837668032  -0.06163398263913713  0.6450314723111981
-0.5679295499020713  -0.061770883717627574  0.6451362337893527
-0.5668640160373395  -0.06190780109247202  0.6452410077380456
-0.5657984821726076  -0.062044734752302634  0.6453457941485776
-0.5647329483078758  -0.06218168468322563  0.6454505930103169
-0.563667414443144  -0.062318650872759083  0.6455554043137118
-0.5626018805784122  -0.06245563330957021  0.6456602280500899
-0.5615363467136804  -0.06259263197873095  0.6457650642080278
-0.5604708128489485  -0.06272964686889793  0.6458699127788453
-0.5594052789842167  -0.062866677967712  0.6459747737530847
-0.5583397451194848  -0.06300372526122942  0.6460796471200755
-0.557274211254753  -0.06314078873817647  0.6461845328711912
-0.5562086773900211  -0.06327786838531128  0.646289430996298
-0.5551431435252893  -0.06341496418992103  0.646394341485668
-0.5540776096605574  -0.06355207614076644  0.6464992643307005
-0.5530120757958256  -0.06368920422357796  0.646604199520476
-0.5519465419310937  -0.0638263484266433  0.6467091470460316
-0.5508810080663619  -0.06396350873827089  0.6468141068984207
-0.54981547420163  -0.0641006851442498  0.6469190790667685
-0.5487499403368983  -0.06423787763339896  0.6470240635425188
-0.5476844064721664  -0.06437508619311427  0.6471290603160269
-0.5466188726074346  -0.06451231081019997  0.6472340693771944
-0.5455533387427027  -0.06464955147350918  0.6473390907174916
-0.5444878048779709  -0.06478680816956148  0.6474441243266028
-0.543422271013239  -0.06492408088613946  0.6475491701951788
-0.5423567371485072  -0.0650613696121304  0.6476542283147156
-0.5412912032837753  -0.06519867433321279  0.6477592986742542
-0.5402256694190435  -0.06533599503811176  0.6478643812651664
-0.5391601355543116  -0.06547333171506116  0.6479694760784486
-0.5380946016895798  -0.06561068435030833  0.6480745831035765
-0.5370290678248479  -0.06574805293279783  0.6481797023320902
-0.5359635339601161  -0.06588543744995867  0.6482848337543701
-0.5348980000953842  -0.06602283788894374  0.6483899773605848
-0.5338324662306525  -0.06616025423873119  0.6484951331423003
-0.5327669323659207  -0.06629768648597886  0.6486003010893066
-0.5317013985011888  -0.06643513461871076  0.6487054811924391
-0.530635864636457  -0.06657259862593853  0.6488106734432895
-0.5295703307717251  -0.06671007849358225  0.6489158778310831
-0.5285047969069933  -0.06684757421050323  0.6490210943472962
-0.5274392630422614  -0.0669850857651491  0.6491263229830885
-0.5263737291775296  -0.0671226131439295  0.6492315637280602
-0.5253081953127977  -0.0672601563359124  0.6493368165738458
-0.5242426614480659  -0.06739771532884022  0.6494420815110654
-0.523177127583334  -0.06753529010992627  0.6495473585299342
-0.5221115937186022  -0.06767288066827176  0.6496526476221117
-0.5210460598538703  -0.06781048699094543  0.649757948777703
-0.5199805259891385  -0.06794810906593246  0.6498632619875135
-0.5189149921244067  -0.0680857468823667  0.6499685872432283
-0.5178494582596749  -0.0682234004266744  0.6500739245344602
-0.516783924394943  -0.06836106968758078  0.6501792738525813
-0.5157183905302112  -0.06849875465400734  0.650284635189114
