Variables= X  Y  Z 
 zone T="sec 0" i= 101 j= 817 
  21337.329004330   1697.913253282   -27.430149735
  21349.912506495   1697.911546589   -27.461053132
  21362.496008660   1697.909839897   -27.491956694
  21375.079510825   1697.908133204   -27.522860415
  21387.663012990   1697.906426512   -27.553764293
  21400.246515155   1697.904719820   -27.584668324
  21412.830017320   1697.903013127   -27.615572505
  21425.413519485   1697.901306435   -27.646476830
  21437.997021649   1697.899599742   -27.677381298
  21450.580523814   1697.897893050   -27.708285903
  21463.164025979   1697.896186357   -27.739190644
  21475.747528144   1697.894479665   -27.770095515
  21488.331030309   1697.892772973   -27.801000514
  21500.914532474   1697.891066280   -27.831905638
  21513.498034639   1697.889359588   -27.862810882
  21526.081536804   1697.887652895   -27.893716243
  21538.665038969   1697.885946203   -27.924621718
  21551.248541134   1697.884239510   -27.955527303
  21563.832043299   1697.882532818   -27.986432996
  21576.415545464   1697.880826125   -28.017338792
  21588.999047629   1697.879119433   -28.048244689
  21601.582549794   1697.877412741   -28.079150683
  21614.166051959   1697.875706048   -28.110056771
  21626.749554124   1697.873999356   -28.140962950
  21639.333056289   1697.872292663   -28.171869217
  21651.916558454   1697.870585971   -28.202775569
  21664.500060619   1697.868879278   -28.233682001
  21677.083562784   1697.867172586   -28.264588513
  21689.667064948   1697.865465893   -28.295495099
  21702.250567113   1697.863759201   -28.326401758
  21714.834069278   1697.862052509   -28.357308486
  21727.417571443   1697.860345816   -28.388215281
  21740.001073608   1697.858639124   -28.419122140
  21752.584575773   1697.856932431   -28.450029059
  21765.168077938   1697.855225739   -28.480936035
  21777.751580103   1697.853519046   -28.511843067
  21790.335082268   1697.851812354   -28.542750151
  21802.918584433   1697.850105662   -28.573657285
  21815.502086598   1697.848398969   -28.604564465
  21828.085588763   1697.846692277   -28.635471689
  21840.669090928   1697.844985584   -28.666378955
  21853.252593093   1697.843278892   -28.697286260
  21865.836095258   1697.841572199   -28.728193601
  21878.419597423   1697.839865507   -28.759100976
  21891.003099588   1697.838158814   -28.790008382
  21903.586601753   1697.836452122   -28.820915816
  21916.170103918   1697.834745430   -28.851823277
  21928.753606082   1697.833038737   -28.882730762
  21941.337108247   1697.831332045   -28.913638269
  21953.920610412   1697.829625352   -28.944545795
  21966.504112577   1697.827918660   -28.975453337
  21979.087614742   1697.826211967   -29.006360895
  21991.671116907   1697.824505275   -29.037268464
  22004.254619072   1697.822798582   -29.068176045
  22016.838121237   1697.821091890   -29.099083633
  22029.421623402   1697.819385198   -29.129991227
  22042.005125567   1697.817678505   -29.160898825
  22054.588627732   1697.815971813   -29.191806425
  22067.172129897   1697.814265120   -29.222714025
  22079.755632062   1697.812558428   -29.253621623
  22092.339134227   1697.810851735   -29.284529217
  22104.922636392   1697.809145043   -29.315436805
  22117.506138557   1697.807438351   -29.346344386
  22130.089640722   1697.805731658   -29.377251957
  22142.673142887   1697.804024966   -29.408159517
  22155.256645052   1697.802318273   -29.439067063
  22167.840147216   1697.800611581   -29.469974595
  22180.423649381   1697.798904888   -29.500882111
  22193.007151546   1697.797198196   -29.531789609
  22205.590653711   1697.795491503   -29.562697088
  22218.174155876   1697.793784811   -29.593604545
  22230.757658041   1697.792078119   -29.624511980
  22243.341160206   1697.790371426   -29.655419391
