Variables= X  Y  Z 
 zone T="sec 0" i= 101 j= 52 
  20121.888305490   703.105813362   -1379.450546723
  20214.585679412   703.075306117   -1379.168187957
  20307.283053333   703.044798873   -1379.010144367
  20399.980427255   703.014291628   -1378.989337875
  20492.677801176   702.983784383   -1379.119030703
  20585.375175098   702.953277139   -1379.412805198
  20677.867515545   702.922769894   -1379.884543413
  11408.845172157   705.940953647   -1248.132624413
  11500.807721569   705.909953795   -1262.380044411
  11593.502129412   705.878953942   -1281.944119651
  11686.196537255   705.847954089   -1302.069912054
  11778.890945098   705.816954236   -1317.369732633
  11871.585352941   705.785954383   -1328.283247904
  11964.279760784   705.754954530   -1338.644419440
  12056.974168627   705.723954678   -1348.459175375
  12149.668576471   705.692954825   -1357.734182669
  12242.362984314   705.661954972   -1366.476819941
  12335.057392157   705.630955119   -1374.695149876
  12427.751800000   705.599955266   -1382.397891221
  12520.446207843   705.568955413   -1389.594390401
  12613.140615686   705.537955561   -1396.294592783
  12705.835023529   705.506955708   -1402.509013614
  12798.529431373   705.475955855   -1408.248708669
  12891.223839216   705.444956002   -1413.525244623
  12983.918247059   705.413956149   -1418.350669184
  13076.612654902   705.382956297   -1422.737481019
  13169.307062745   705.351956444   -1426.698599490
  13262.001470588   705.320956591   -1430.247334240
  13354.695878431   705.289956738   -1433.397354646
  13447.390286275   705.258956885   -1436.162659180
  13540.084694118   705.227957032   -1438.557544693
  13632.779101961   705.196957180   -1440.596575665
  13725.473509804   705.165957327   -1442.294553430
  13818.167917647   705.134957474   -1443.666485429
  13910.862325490   705.103957621   -1444.727554492
  14003.556733333   705.072957768   -1445.493088205
  14096.251141176   705.041957915   -1445.978528363
  14188.945549020   705.010958063   -1446.199400558
  14281.639956863   704.979958210   -1446.171283916
  14374.334364706   704.948958357   -1445.909781021
  14467.028772549   704.917958504   -1445.430488041
  14559.723180392   704.886958651   -1444.835106028
  14652.417588235   704.855958798   -1444.215535796
  14745.111996078   704.824958946   -1443.572652883
  14837.806403922   704.793959093   -1442.907335673
  14930.500811765   704.762959240   -1442.220465070
  15023.195219608   704.731959387   -1441.512924156
  15115.889627451   704.700959534   -1440.785597863
  15208.584035294   704.669959681   -1440.039372637
  15301.278443137   704.638959829   -1439.275136109
  15393.972850980   704.607959976   -1438.493776759
  15486.667258824   704.576960123   -1437.696183592
  15579.361666667   704.545960270   -1436.883245800
  15672.056074510   704.514960417   -1436.055852439
  15764.750482353   704.483960564   -1435.214892100
  15857.444890196   704.452960712   -1434.361252582
  15950.139298039   704.421960859   -1433.495820568
  16042.833705882   704.390961006   -1432.619481300
  16135.528113725   704.359961153   -1431.733118259
  16228.222521569   704.328961300   -1430.837612843
  16320.916929412   704.297961447   -1429.933844051
  16413.611337255   704.266961595   -1429.022688163
  16506.305745098   704.235961742   -1428.105018430
  16599.000152941   704.204961889   -1427.181704756
  16691.694560784   704.173962036   -1426.253613395
  16784.388968627   704.142962183   -1425.321606638
  16877.083376471   704.111962330   -1424.386542508
  16969.777784314   704.080962478   -1423.449274461
  17062.472192157   704.049962625   -1422.510651081
  17155.166600000   704.018962772   -1421.571515787
  17247.861007843   703.987962919   -1420.632706534
  17340.555415686   703.956963066   -1419.695055527
  17433.249823529   703.925963213   -1418.759388928
  17525.944231373   703.894963361   -1417.826526569
  17618.638639216   703.863963508   -1416.897281678
  17711.333047059   703.832963655   -1415.967437135
  17804.027454902   703.801963802   -1415.021611332
  17896.721862745   703.770963949   -1414.049157435
  17989.416270588   703.739964096   -1413.042874279
  18082.110678431   703.708964244   -1411.997735242
  18174.805086275   703.677964391   -1410.910396589
  18267.499494118   703.646964538   -1409.778929817
  18360.193901961   703.615964685   -1408.602652116
  18452.888309804   703.584964832   -1407.382008521
  18545.582717647   703.553964979   -1406.118484460
  18638.277125490   703.522965127   -1404.814537552
  18730.971533333   703.491965274   -1403.473542259
  18823.665941176   703.460965421   -1402.099743438
  18916.360349020   703.429965568   -1400.698216258
  19009.054756863   703.398965715   -1399.274830734
  19101.749164706   703.367965862   -1397.836219686
  19194.443572549   703.336966010   -1396.389749246
  19287.137980392   703.305966157   -1394.943491270
  19379.832388235   703.274966304   -1393.506197179
  19472.526796078   703.243966451   -1392.087272856
  19565.221203922   703.212966598   -1390.696754319
  19657.915611765   703.181966746   -1389.345283941
  19750.610019608   703.150966893   -1388.044087037
  19843.304427451   703.119967040   -1386.804948684
  19935.998835294   703.088967187   -1385.640190653
  20028.693243137   703.057967334   -1384.562648361
  20121.387650980   703.026967481   -1383.585647774
  20214.082058824   702.995967629   -1382.722982184
  20306.776466667   702.964967776   -1381.988888831
  20399.470874510   702.933967923   -1381.398025312
  20492.165282353   702.902968070   -1380.965445754
  20584.859690196   702.871968217   -1380.706576717
