Variables= X  Y  Z 
 zone T="sec 0" i= 201 j= 52 
  11840.783403180   704.936040000   -343.639528765
  11920.794923815   704.921320000   -351.403052490
  12000.806444450   704.906600000   -359.134364457
  12080.817965085   704.891880000   -366.830623354
  12160.829485720   704.877160000   -374.488987869
  12240.841006355   704.862440000   -382.106616690
  12320.852526990   704.847720000   -389.680668504
  12400.864047625   704.833000000   -397.208301999
  12480.875568260   704.818280000   -404.686675863
  12560.887088895   704.803560000   -412.112948783
  12640.898609530   704.788840000   -419.484279447
  12720.910130165   704.774120000   -426.797826543
  12800.921650800   704.759400000   -434.050748759
  12880.933171435   704.744680000   -441.240204781
  12960.944692070   704.729960000   -448.363353299
  13040.956212705   704.715240000   -455.417352999
  13120.967733340   704.700520000   -462.399362570
  13200.979253975   704.685800000   -469.306540698
  13280.990774610   704.671080000   -476.136046072
  13361.002295245   704.656360000   -482.885037379
  13441.013815880   704.641640000   -489.550673308
  13521.025336515   704.626920000   -496.130112545
  13601.036857150   704.612200000   -502.620513779
  13681.048377785   704.597480000   -509.019035697
  13761.059898420   704.582760000   -515.322836986
  13841.071419055   704.568040000   -521.529076336
  13921.082939690   704.553320000   -527.634912432
  14001.094460325   704.538600000   -533.637503964
  14081.105980960   704.523880000   -539.534009618
  14161.117501595   704.509160000   -545.321588082
  14241.129022230   704.494440000   -550.997398045
  14321.140542865   704.479720000   -556.558598193
  14401.152063500   704.465000000   -562.002347215
  14481.163584135   704.450280000   -567.325803798
  14561.175104770   704.435560000   -572.526126630
  14641.186625405   704.420840000   -577.600474398
  14721.198146040   704.406120000   -582.546005790
  14801.209666675   704.391400000   -587.359879495
  14881.221187310   704.376680000   -592.039254199
  14961.232707945   704.361960000   -596.581288591
  15041.244228580   704.347240000   -600.983141357
  15121.255749215   704.332520000   -605.241971186
  15201.267269850   704.317800000   -609.354936766
  15281.278790485   704.303080000   -613.319196784
  15361.290311120   704.288360000   -617.131909927
  15441.301831755   704.273640000   -620.790234885
  15521.313352390   704.258920000   -624.291330343
  15601.324873025   704.244200000   -627.632354990
  15681.336393660   704.229480000   -630.810467514
  15761.347914295   704.214760000   -633.822826603
